timestamp,open,high,low,close,volume
2023-04-04,43.13,47.33,43.1,46.65,51643.6
2023-04-05,46.66,49.5,46.5,47.0,67644.16
2023-04-06,47.0,47.22,44.94,45.72,60082.79
2023-04-07,45.72,46.07,44.5,44.83,50848.42
2023-04-08,44.81,45.81,44.39,45.15,22453.9
2023-04-09,45.14,45.24,44.0,44.69,22205.04
2023-04-10,44.68,47.46,44.52,47.28,18252.77
2023-04-11,47.28,48.15,42.85,43.23,74626.49
2023-04-12,43.23,44.85,40.96,42.8,105341.4
2023-04-13,42.81,47.26,41.91,46.07,73288.66
2023-04-14,46.05,55.0,44.0,51.1,173173.26
2023-04-15,51.05,53.11,50.78,51.7,61596.92
2023-04-16,51.73,65.32,51.68,59.35,211579.79
2023-04-17,59.3,62.0,53.3,55.38,166915.1
2023-04-18,55.35,57.8,52.09,56.32,146430.54
2023-04-19,56.34,57.88,50.35,50.39,72204.82
2023-04-20,50.34,50.88,46.45,47.31,78799.74
2023-04-21,47.29,48.27,44.0,44.31,61363.7
2023-04-22,44.3,47.67,44.3,46.82,26563.39
2023-04-23,46.82,47.64,45.83,46.55,24443.02
2023-04-24,46.55,46.97,44.2,45.94,28525.91
2023-04-25,45.93,47.28,44.49,46.95,34070.36
2023-04-26,46.95,49.72,45.21,47.0,43933.76
2023-04-27,46.98,48.49,46.03,47.36,44395.43
2023-04-28,47.37,48.05,45.36,46.1,22369.77
2023-04-29,46.11,48.36,45.84,47.29,16875.19
2023-04-30,47.32,47.85,46.01,46.63,21412.62
2023-05-01,46.62,48.19,44.87,46.52,29294.87
2023-05-02,46.54,49.51,46.1,48.46,29063.74
2023-05-03,48.46,52.94,48.04,52.24,77699.82
2023-05-04,52.25,53.45,49.54,49.84,36557.25
2023-05-05,49.88,52.0,49.44,50.7,24709.22
2023-05-06,50.71,51.87,47.57,48.37,16246.69
2023-05-07,48.36,49.86,48.12,48.61,9777.19
2023-05-08,48.65,48.83,45.99,47.24,34703.03
2023-05-09,47.27,49.0,46.6,47.68,18200.88
2023-05-10,47.7,47.91,45.53,46.86,17659.95
2023-05-11,46.87,46.91,44.59,44.8,18357.19
2023-05-12,44.79,47.68,43.44,46.59,57986.24
2023-05-13,46.63,51.0,45.9,49.92,39112.31
2023-05-14,49.95,52.0,49.11,51.6,54710.89
2023-05-15,51.64,53.79,51.1,51.93,42888.96
2023-05-16,51.94,51.97,48.01,49.98,50452.36
2023-05-17,49.98,51.31,48.81,50.62,22577.47
2023-05-18,50.6,51.97,48.42,49.53,23001.69
2023-05-19,49.52,50.0,48.28,49.15,18393.95
2023-05-20,49.14,51.4,48.37,49.53,15388.41
2023-05-21,49.53,50.15,49.14,49.32,7642.78
2023-05-22,49.36,50.0,46.75,47.49,18945.44
2023-05-23,47.46,49.03,47.43,48.68,10331.99
2023-05-24,48.67,48.68,45.69,46.22,11815.75
